alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP,,xflr5 v6.47,
-10,0,-0.097893,0.019669,0.091974,0.111643,0,0,0.130843,0,0,12,0.5835,,,
-9,0,-0.011294,0.018407,0.078432,0.096839,0,0,0.122664,0,0,12,3.9122,,Plane name :, Jose Samuel
-8,0,0.075471,0.017915,0.070927,0.088842,0,0,0.114057,0,0,12,-0.4139,,Polar name :, T1-12.0 m/s-VLM2
-7,0,0.162336,0.018199,0.062086,0.080285,0,0,0.10511,0,0,12,-0.1126,,Freestream speed :, 12.0 m/s
-6,0,0.249233,0.019265,0.052337,0.071602,0,0,0.09582,0,0,12,-0.0213,,,
-5,0,0.336095,0.021116,0.046943,0.068059,0,0,0.086169,0,0,12,0.0228,,,
-4,0,0.422853,0.023751,0.042533,0.066285,0,0,0.076199,0,0,12,0.0488,,,
-3,0,0.509439,0.027171,0.038477,0.065648,0,0,0.065924,0,0,12,0.0659,,,
-2,0,0.595787,0.031369,0.034492,0.065861,0,0,0.055355,0,0,12,0.0781,,,
-1,0,0.681827,0.036339,0.030654,0.066993,0,0,0.044504,0,0,12,0.0872,,,
0,0,0.767495,0.042072,0.027055,0.069127,0,0,0.033386,0,0,12,0.0943,,,
1,0,0.852722,0.048556,0.024335,0.072891,0,0,0.022017,0,0,12,0.1,,,
2,0,0.937444,0.055779,0.023624,0.079403,0,0,0.010418,0,0,12,0.1047,,,
3,0,1.021596,0.063723,0.02319,0.086913,0,0,-0.0014,0,0,12,0.1086,,,
4,0,1.105113,0.07237,0.023335,0.095705,0,0,-0.013422,0,0,12,0.112,,,
5,0,1.187933,0.0817,0.023681,0.105381,0,0,-0.025633,0,0,12,0.1149,,,
6,0,1.269994,0.09169,0.024023,0.115713,0,0,-0.038019,0,0,12,0.1175,,,
7,0,1.351237,0.102315,0.024429,0.126744,0,0,-0.050566,0,0,12,0.1198,,,
8,0,1.431601,0.113549,0.024881,0.13843,0,0,-0.063258,0,0,12,0.1219,,,
9,0,1.51103,0.125363,0.025706,0.151069,0,0,-0.076082,0,0,12,0.1238,,,
10,0,1.589469,0.137726,0.026687,0.164413,0,0,-0.089024,0,0,12,0.1256,,,
11,0,1.666862,0.150606,0.027676,0.178282,0,0,-0.102072,0,0,12,0.1273,,,
12,0,1.743159,0.163969,0.028769,0.192738,0,0,-0.115217,0,0,12,0.1288,,,
13,0,1.818309,0.177779,0.029984,0.207763,0,0,-0.128437,0,0,12,0.1302,,,
14,0,1.892263,0.191999,0.031342,0.223341,0,0,-0.141714,0,0,12,0.1316,,,
15,0,1.964977,0.206591,0.032835,0.239427,0,0,-0.155031,0,0,12,0.133,,,
